ph,turbidity,tds,do,temperature,true_class,oracle_class,sample_id
7.588,4.412,444.578,7.693,20.715,POTABLE,MARGINAL,1
8.024,11.811,549.841,6.142,28.741,MARGINAL,MARGINAL,2
6.467,6.952,406.912,6.219,24.64,MARGINAL,MARGINAL,3
6.216,0.0,352.803,8.614,25.737,POTABLE,MARGINAL,4
7.556,1.994,256.629,8.213,30.89,POTABLE,MARGINAL,5
6.124,0.0,233.371,7.902,23.117,POTABLE,MARGINAL,6
7.271,0.0,410.399,7.578,25.75,POTABLE,POTABLE,7
6.985,7.381,704.065,6.27,18.636,MARGINAL,MARGINAL,8
8.461,7.43,706.713,6.727,28.379,MARGINAL,MARGINAL,9
7.374,0.0,436.116,8.499,23.182,POTABLE,POTABLE,10
7.11,5.384,277.03,3.785,22.963,MARGINAL,MARGINAL,11
6.215,0.0,294.352,9.132,24.341,POTABLE,MARGINAL,12
7.378,2.725,269.666,9.157,29.98,POTABLE,MARGINAL,13
6.621,1.357,318.793,10.104,26.941,POTABLE,MARGINAL,14
7.291,10.069,633.902,9.218,27.34,MARGINAL,MARGINAL,15
8.885,10.528,328.283,5.407,27.357,MARGINAL,MARGINAL,16
6.642,0.0,76.093,9.408,20.58,POTABLE,POTABLE,17
7.552,23.226,522.249,5.354,32.128,MARGINAL,MARGINAL,18
6.589,0.0,436.768,8.035,23.781,POTABLE,POTABLE,19
6.13,2.043,272.554,10.547,22.207,POTABLE,MARGINAL,20
7.127,0.0,256.994,7.097,28.711,POTABLE,POTABLE,21
7.705,10.515,653.877,2.74,18.929,MARGINAL,MARGINAL,22
7.503,0.0,409.077,9.322,23.183,POTABLE,POTABLE,23
6.307,1.534,287.877,8.586,27.359,POTABLE,MARGINAL,24
5.975,50.048,724.896,1.757,19.526,NON_POTABLE,NON_POTABLE,25
7.918,0.0,304.632,7.725,25.063,POTABLE,POTABLE,26
6.594,7.461,1119.853,1.755,26.432,NON_POTABLE,NON_POTABLE,27
6.721,2.958,399.564,7.045,28.203,POTABLE,MARGINAL,28
4.709,67.474,1053.134,0.92,28.191,NON_POTABLE,NON_POTABLE,29
6.537,0.0,236.603,8.669,23.658,POTABLE,POTABLE,30
8.479,3.436,361.567,6.858,21.779,POTABLE,MARGINAL,31
7.927,3.238,343.483,8.95,21.793,POTABLE,MARGINAL,32
4.553,52.161,1182.189,3.779,22.42,NON_POTABLE,NON_POTABLE,33
9.157,48.101,1129.298,2.492,27.391,NON_POTABLE,NON_POTABLE,34
6.619,5.455,232.783,8.878,23.818,POTABLE,MARGINAL,35
7.655,11.384,410.409,2.839,24.692,MARGINAL,MARGINAL,36
7.485,17.373,580.231,4.906,24.549,MARGINAL,MARGINAL,37
6.184,69.664,795.427,1.847,29.401,NON_POTABLE,NON_POTABLE,38
3.486,91.565,887.646,0.936,20.811,NON_POTABLE,NON_POTABLE,39
6.422,11.957,409.776,7.95,23.479,MARGINAL,MARGINAL,40
8.006,4.726,205.305,5.166,29.601,MARGINAL,MARGINAL,41
2.355,24.16,820.163,2.478,21.343,NON_POTABLE,NON_POTABLE,42
6.77,2.913,324.521,9.584,27.383,POTABLE,MARGINAL,43
8.17,0.0,502.665,8.499,24.378,POTABLE,MARGINAL,44
7.214,4.366,266.723,10.352,20.352,POTABLE,MARGINAL,45
2.78,81.23,729.855,3.073,36.67,NON_POTABLE,NON_POTABLE,46
2.052,3.855,992.521,0.0,25.365,NON_POTABLE,NON_POTABLE,47
4.57,62.721,511.072,1.839,33.76,NON_POTABLE,NON_POTABLE,48
7.227,15.888,393.783,5.902,26.116,MARGINAL,MARGINAL,49
5.735,0.0,594.698,5.079,30.454,MARGINAL,MARGINAL,50
5.239,92.797,777.148,0.482,32.494,NON_POTABLE,NON_POTABLE,51
2.464,62.352,733.679,2.779,30.683,NON_POTABLE,NON_POTABLE,52
7.755,4.84,567.525,6.896,28.927,MARGINAL,MARGINAL,53
7.062,4.736,498.904,7.286,28.178,MARGINAL,MARGINAL,54
6.743,1.665,208.151,8.607,24.374,POTABLE,MARGINAL,55
7.026,11.838,669.588,6.113,25.726,MARGINAL,MARGINAL,56
7.08,2.972,187.865,8.646,23.378,POTABLE,MARGINAL,57
7.181,1.212,255.542,8.156,24.462,POTABLE,MARGINAL,58
6.867,2.767,242.756,9.054,26.635,POTABLE,MARGINAL,59
8.582,8.998,301.881,5.072,26.277,MARGINAL,MARGINAL,60
7.406,10.272,476.605,5.239,25.907,MARGINAL,MARGINAL,61
10.268,60.794,1007.532,1.192,30.76,NON_POTABLE,NON_POTABLE,62
2.155,14.641,610.749,2.839,26.896,NON_POTABLE,NON_POTABLE,63
0.545,35.748,626.905,2.375,22.776,NON_POTABLE,NON_POTABLE,64
6.885,0.0,528.526,6.612,23.293,POTABLE,MARGINAL,65
7.046,11.42,527.886,6.397,25.987,MARGINAL,MARGINAL,66
7.032,6.012,570.92,5.311,27.969,MARGINAL,MARGINAL,67
5.514,8.452,567.893,3.85,26.716,MARGINAL,MARGINAL,68
8.181,4.181,650.663,7.758,28.093,MARGINAL,MARGINAL,69
7.953,55.407,480.43,0.65,23.876,NON_POTABLE,NON_POTABLE,70
6.803,0.0,192.227,10.404,20.79,POTABLE,POTABLE,71
7.316,1.298,358.806,10.262,21.29,POTABLE,MARGINAL,72
6.967,0.432,162.413,8.49,26.693,POTABLE,POTABLE,73
6.506,0.0,430.66,8.51,18.943,POTABLE,POTABLE,74
7.73,0.0,404.168,7.701,24.547,POTABLE,POTABLE,75
6.749,21.818,565.41,6.806,25.023,MARGINAL,MARGINAL,76
6.776,0.0,406.623,10.034,22.509,POTABLE,POTABLE,77
6.193,0.768,575.644,3.85,26.133,MARGINAL,MARGINAL,78
7.689,18.384,512.78,4.953,27.112,MARGINAL,MARGINAL,79
3.92,27.564,795.452,1.89,29.203,NON_POTABLE,NON_POTABLE,80
7.174,2.849,482.378,7.291,28.589,MARGINAL,MARGINAL,81
7.052,8.298,555.947,3.914,25.82,MARGINAL,MARGINAL,82
0.0,80.596,1077.418,1.013,22.975,NON_POTABLE,NON_POTABLE,83
7.516,3.128,406.013,8.252,23.426,POTABLE,MARGINAL,84
6.397,8.681,590.516,4.866,23.302,MARGINAL,MARGINAL,85
